[09-Nov-2012 23:55:05] PHP Fatal error:  Class 'Mage_Singledb_Helper_Data' not found in /pixafy/www/bevel/app/Mage.php on line 546
[09-Nov-2012 23:55:09] PHP Fatal error:  Class 'Mage_Singledb_Helper_Data' not found in /pixafy/www/bevel/app/Mage.php on line 546
[09-Nov-2012 23:55:10] PHP Fatal error:  Class 'Mage_Singledb_Helper_Data' not found in /pixafy/www/bevel/app/Mage.php on line 546
[09-Nov-2012 23:55:20] PHP Fatal error:  Class 'Mage_Singledb_Helper_Data' not found in /pixafy/www/bevel/app/Mage.php on line 546
[10-Nov-2012 21:43:19] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[10-Nov-2012 21:43:26] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:21:36] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:21:43] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:21:49] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:22:15] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:23:50] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:24:21] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:24:28] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:24:32] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:24:36] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:24:39] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:24:47] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:24:58] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 15:25:02] PHP Fatal error:  Call to a member function getDesigner() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/product/view.phtml on line 65
[12-Nov-2012 20:34:29] PHP Fatal error:  Call to a member function getDateEnd() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/page/html/trunkshow.phtml on line 58
[12-Nov-2012 20:35:07] PHP Fatal error:  Call to a member function getDateEnd() on a non-object in /pixafy/www/bevel/app/design/frontend/enterprise/bevel/template/catalog/category/view.phtml on line 40
